ask,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,longName,postMarketPrice,regularMarketPrice,regularMarketDayHigh,regularMarketDayRange,regularMarketDayLow,regularMarketVolume,regularMarketPreviousClose,shortName,symbol,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent
450,389.867,27.162994,0.069672465,"West Pharmaceutical Services, Inc.",417.03,417.03,417.5,409.553 - 417.5,409.553,414556,410.71,"West Pharmaceutical Services, I",WST,411.912,5.1180115,0.012425012
217.65,204.851,11.699005,0.05710983,Chubb Limited,216.55,216.55,217.225,214.49 - 217.225,214.49,1278859,213.9,Chubb Limited,CB,187.1735,29.37651,0.15694803
65.78,70.3678,-4.4878006,-0.06377634,A. O. Smith Corporation,66.07,65.88,65.895,63.691 - 65.895,63.691,1292831,63.89,A.O. Smith Corporation,AOS,72.7428,-6.8628006,-0.09434337
327.98,302.9314,19.798615,0.06535676,Linde plc,323.99,322.73,322.88,320.42 - 322.88,320.42,1477765,319.43,Linde plc,LIN,311.1444,11.585602,0.03723545
189.8,178.8562,1.513794,0.008463749,Ecolab Inc.,181.28,180.37,180.45,175.88 - 180.45,175.88,1175185,176.56,Ecolab Inc.,ECL,211.0953,-30.725311,-0.14555185
476.7,447.6456,29.304413,0.065463424,"Roper Technologies, Inc.",476.95,476.95,478.5,470.98 - 478.5,470.98,397856,472.23,"Roper Technologies, Inc.",ROP,468.1714,8.7786255,0.01875088
242.41,224.6948,17.8152,0.07928622,General Dynamics Corporation,243,242.51,243.21,239.21 - 243.21,239.21,1004905,241.18,General Dynamics Corporation,GD,205.5082,37.0018,0.18005024
164.21,147.7166,16.503403,0.111723416,Chevron Corporation,164.22,164.22,165.95,162.33 - 165.95,162.33,8795255,162.83,Chevron Corporation,CVX,118.0031,46.216904,0.3916584
123.75,110.1138,11.296204,0.10258663,Atmos Energy Corporation,121,121.41,121.46,118.82 - 121.46,118.82,994954,119.49,Atmos Energy Corporation,ATO,100.0364,21.373604,0.21365827
57.49,53.8068,3.7931976,0.07049662,"Cardinal Health, Inc.",57.32,57.6,57.61,56.59 - 57.61,56.59,1998406,56.7,"Cardinal Health, Inc.",CAH,52.4981,5.101898,0.09718253
101.65,98.8588,2.5011978,0.02530071,"Church & Dwight Co., Inc.",101.36,101.36,101.37,99.11 - 101.37,99.11,1114290,99.38,"Church & Dwight Company, Inc.",CHD,91.235,10.125,0.11097714
130.48,129.363,0.7869873,0.006083558,International Business Machines Corporation,130.37,130.15,130.27,128.075 - 130.27,128.075,4012373,130.02,International Business Machines,IBM,130.30006,-0.15007019,-0.0011517276
86,78.7688,6.9412003,0.08812119,"NextEra Energy, Inc.",86.06,85.71,85.795,84.125 - 85.795,84.125,5209692,84.71,"NextEra Energy, Inc.",NEE,82.00215,3.7078476,0.045216467
219.26,206.8098,12.960205,0.062667266,Caterpillar Inc.,220.3,219.77,225.4438,218.165 - 225.4438,218.165,2618304,222.82,"Caterpillar, Inc.",CAT,206.8071,12.962906,0.062681146
100,106.5588,-6.538803,-0.061363332,"Expeditors International of Washington, Inc.",99.0499,100.02,104.63,98.52 - 104.63,98.52,1518036,103.16,Expeditors International of Was,EXPD,120.53695,-20.516953,-0.17021297
70.89,67.226,3.6740036,0.05465153,Realty Income Corporation,70.69,70.9,70.91,69.33 - 70.91,69.33,3288893,69.3,Realty Income Corporation,O,67.9566,2.9434052,0.043313015
226,205.7536,19.166397,0.09315218,Albemarle Corporation,225.9,224.92,228.3743,222.57 - 228.3743,222.57,864520,221.15,Albemarle Corporation,ALB,221.23,3.6900024,0.016679484
544.2,330.8442,22.645782,0.06844848,"Essex Property Trust, Inc.",353.49,353.49,353.49,346.895 - 353.49,346.895,289578,345.48,"Essex Property Trust, Inc.",ESS,331.25266,22.237335,0.06713104
72.9,66.8664,5.693596,0.08514883,"Brown & Brown, Inc.",72.89,72.56,73.51,72.03 - 73.51,72.03,1785983,72.27,"Brown & Brown, Inc.",BRO,61.91035,10.649647,0.17201723
19.44,20.471,-1.0610008,-0.051829457,"People's United Financial, Inc.",19.57,19.41,20.39,19.34 - 20.39,19.34,127451387,19.99,People's,PBCT,18.0993,1.3106995,0.07241713
144,124.2008,13.869209,0.11166763,Cincinnati Financial Corporation,136.9,138.07,138.13,135.89 - 138.13,135.89,610797,135.96,Cincinnati Financial Corporatio,CINF,119.7651,18.304909,0.1528401
149.67,154.2454,-4.5554047,-0.029533487,3M Company,149.06,149.69,150.08,146.8799 - 150.08,146.8799,2196606,148.88,3M Company,MMM,178.069,-28.378998,-0.1593708
155.88,155.3718,-0.28179932,-0.0018137096,The Procter & Gamble Company,155,155.09,155.46,152.0768 - 155.46,152.0768,5742629,152.8,Procter & Gamble Company (The),PG,148.05556,7.034439,0.04751216
125.77,127.2244,-1.2944031,-0.010174173,Genuine Parts Company,125.92,125.93,127.97,125.45 - 127.97,125.45,687865,126.02,Genuine Parts Company,GPC,128.62225,-2.692253,-0.020931473
98.85,94.4052,4.014801,0.04252733,Emerson Electric Co.,98.42,98.42,99.38,97.71 - 99.38,97.71,2413964,98.05,Emerson Electric Company,EMR,96.14855,2.2714462,0.023624342
158.83,160.2286,-1.6786041,-0.010476307,Dover Corporation,158.55,158.55,159.4,156.97 - 159.4,156.97,636967,156.9,Dover Corporation,DOV,165.52975,-6.9797516,-0.042166144
150.99,140.0768,10.933197,0.07805145,Walmart Inc.,151,151.01,151.27,148.8397 - 151.27,148.8397,6979933,148.92,Walmart Inc.,WMT,142.6129,8.397095,0.05888033
